user_id,username,num_followers,num_following,num_repos,created_at,star_time
116256,bhattisatish,16,23,32,2009-08-17 13:32:59,2018-04-30 22:06:54
6799417,uid89626,2,5,5,2014-02-26 19:09:02,2017-07-27 21:21:08
11370681,mxochicale,74,751,171,2015-03-07 20:30:45,2019-07-29 05:04:36
26127380,akc5233206,1,3,2,2017-03-01 19:38:40,2019-10-07 23:39:07
42356489,DigiMaxIO,2,1,10,2018-08-13 14:14:48,2019-06-26 00:24:54
16413631,diegslva,43,500,344,2015-12-23 06:46:07,2019-03-06 07:46:55
5258640,chechu2k5,4,23,2,2013-08-18 23:40:28,2017-10-11 20:12:22
7052058,elmsfu,8,5,29,2014-03-24 16:22:14,2018-05-03 07:08:28
11254217,qinshiysb,1,4,19,2015-03-01 03:22:48,2019-02-12 21:25:34
3849391,yanpozka,23,18,37,2013-03-12 21:40:03,2019-02-08 12:51:29
582253,davidonet,14,4,36,2011-01-25 03:14:21,2019-08-30 05:09:37
1448760,DuoBelt,5,43,112,2012-02-18 04:01:26,2019-07-07 10:50:22
4591190,mckaydavis,25,8,26,2013-06-01 23:18:04,2017-03-30 18:08:17
1384994,speters,10,1,28,2012-01-27 09:38:11,2018-05-26 02:09:20
26989135,junhua-zhang,3,17,204,2017-04-06 20:38:38,2020-02-24 22:05:25
1382684,rrozestw,12,8,309,2012-01-26 12:43:53,2016-12-21 15:32:56
753891,0xdevalias,172,134,84,2011-04-26 23:08:05,2018-12-20 03:19:11
777208,Palantir555,191,13,45,2011-05-09 11:03:58,2020-02-21 13:02:45
6530017,JustGitting,3,14,5,2014-01-28 18:31:06,2020-03-07 21:13:39
5934325,selftaught,50,60,96,2013-11-13 19:07:26,2019-05-24 01:14:13
3754959,aaronfowles,23,44,28,2013-03-03 06:08:41,2017-07-28 06:52:22
25531057,paul-monokoto,0,0,0,2017-02-03 09:27:23,2017-04-19 05:49:15
2270505,kubawolanin,47,103,50,2012-09-03 06:48:55,2017-07-27 23:08:41
7517006,pkral78,0,0,3,2014-05-07 16:15:19,2019-03-05 03:19:56
1302815,danilogr,67,299,63,2012-01-03 21:55:53,2017-07-28 13:16:02
4340829,DannyRavi,43,147,74,2013-05-04 11:27:31,2019-02-02 14:00:52
18661310,shakhmetov,1,7,6,2016-04-25 08:45:07,2018-09-10 15:07:41
4065081,matlab379,4,8,84,2013-04-04 22:22:44,2019-11-17 23:00:44
1041811,manis404,4,5,52,2011-09-10 23:07:07,2018-05-25 14:57:59
4148370,rapha-opensource,4,7,21,2013-04-13 16:17:26,2016-08-14 16:18:59
7439248,goeblr,12,7,16,2014-04-29 07:06:20,2018-07-24 13:15:53
3239175,mlp6,70,10,5,2013-01-10 17:19:38,2017-07-28 14:51:10
45806,iseanstevens,25,47,5,2009-01-11 15:14:55,2016-12-21 22:46:22
244912,reportingsjr,31,72,32,2010-04-15 13:44:01,2018-05-04 06:13:30
2847611,olihb,4,0,5,2012-11-20 15:46:49,2018-05-27 10:29:59
319532,smcgill3,9,3,3,2010-06-30 21:11:09,2019-04-14 18:48:58
287684,anfractuosity,61,6,34,2010-05-26 09:00:19,2019-01-01 16:38:52
15106476,prasimix,8,1,5,2015-10-13 07:37:05,2019-08-24 06:35:09
179419,robksawyer,27,61,268,2010-01-10 06:40:30,2017-07-28 08:15:18
1218010,cleder,64,46,45,2011-11-24 07:08:54,2019-04-23 05:29:07
20751572,lancemk,4,30,42,2016-07-31 03:53:57,2019-05-13 23:27:45
19147192,DFNOsorio,1,2,13,2016-05-02 04:11:48,2017-07-02 19:58:16
1774061,baibaratsky,34,23,27,2012-05-24 07:48:21,2019-07-24 02:13:46
25432,thewtex,214,70,360,2008-09-19 16:33:43,2017-07-28 09:13:55
20763825,panzerkiller,1,0,7,2016-07-31 22:23:33,2019-12-18 14:40:45
4794003,eobodo,14,4,4,2013-06-23 21:16:11,2017-07-27 20:32:10
13451620,wly0215,1,183,6,2015-07-22 07:30:50,2020-02-04 11:39:54
5789232,GitMoDu,14,25,24,2013-10-27 16:43:09,2018-08-04 14:16:58
8204175,DINKIN,20,129,1395,2014-07-18 14:37:18,2016-10-27 11:46:38
3850657,sponnusa,45,5,143,2013-03-13 01:09:03,2017-07-28 02:11:35
10220122,Guokr1991,18,57,513,2014-12-17 06:22:47,2017-01-07 23:44:57
5576741,taopanpan,24,100,34,2013-09-30 08:45:23,2017-04-06 21:35:10
12840473,imgray,1,1,14,2015-06-11 00:34:14,2018-12-21 01:32:18
30285679,boyihao-utp,2,18,28,2017-07-19 02:56:23,2017-07-28 00:52:53
